Dataset,SiteCode,POC,Date,Latitude,Longitude,Elevation,State,ammNO3f_Val,ammSO4f_Val,ECf_Val,OMCf_Val,RCTM_Val,MF_Val,CM_calculated_Val,RCFM_Val,SeaSaltf_Val,SOILf_Val
IMPAER,ACAD1,1,06/25/2018,44.3771,-68.261,157.3333,ME,0.04047,0.27251,0.06933,1.15391,4.68811,1.92366,3.03744,1.65067,0.04896,0.06549
IMPAER,ACAD1,1,06/28/2018,44.3771,-68.261,157.3333,ME,0.11488,0.43709,0.05757,0.71714,9.11748,1.73312,7.18187,1.93561,0.56232,0.04662
IMPAER,ACAD1,1,07/01/2018,44.3771,-68.261,157.3333,ME,-999,-999,0.29085,5.44309,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/04/2018,44.3771,-68.261,157.3333,ME,-999,-999,0.08182,3.65749,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/07/2018,44.3771,-68.261,157.3333,ME,-999,-999,0.06501,1.03896,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/10/2018,44.3771,-68.261,157.3333,ME,0.53628,0.88003,0.25492,3.74152,11.5912,7.24887,5.62396,5.9672,0.28294,0.27152
IMPAER,ACAD1,1,07/13/2018,44.3771,-68.261,157.3333,ME,-999,-999,0.07653,1.71792,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/16/2018,44.3771,-68.261,157.3333,ME,-999,-999,0.12805,1.60011,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/19/2018,44.3771,-68.261,157.3333,ME,0.07446,0.40771,0.082,1.39016,4.8508,2.5017,2.67436,2.17644,0.02884,0.19327
IMPAER,ACAD1,1,07/22/2018,44.3771,-68.261,157.3333,ME,0.12127,1.11243,0.02237,0.94963,5.40428,3.77394,2.01047,3.39381,0.51532,0.67279
IMPAER,ACAD1,1,07/25/2018,44.3771,-68.261,157.3333,ME,0.02703,0.63441,-0.00615,0.41294,2.33583,1.17039,1.04378,1.29205,0.22077,0.00306
IMPAER,ACAD1,1,07/28/2018,44.3771,-68.261,157.3333,ME,0.11467,1.55254,0.08456,1.39835,4.71579,4.46123,1.47294,3.24285,0.04549,0.04724
IMPAER,ACAD1,1,07/31/2018,44.3771,-68.261,157.3333,ME,0.07527,0.55136,0.24513,3.3914,6.94109,6.11478,2.57112,4.36997,0.01627,0.09054
IMPAER,ACAD1,1,06/02/2019,44.3771,-68.261,157.3333,ME,0.08052,0.26044,0.04382,0.6748,2.45943,1.20411,1.26544,1.19399,0.09572,0.03868
IMPAER,ACAD1,1,06/05/2019,44.3771,-68.261,157.3333,ME,0.2641,0.67251,0.62405,1.51115,10.3843,3.83231,6.85143,3.53284,0.14564,0.31538
IMPAER,ACAD1,1,06/08/2019,44.3771,-68.261,157.3333,ME,0.04475,0.36961,0.0656,1.04447,7.21323,2.04145,5.44425,1.76898,0.02291,0.22163
